step,winner,endpoint_factor,edge_factor
19,1,-18,14
20,1,-25,-1
21,1,-18,48
22,1,-21,-5
23,1,-22,14
24,1,-18,10
25,1,-17,29
26,1,-16,8
27,1,-18,10
28,1,-16,8
29,1,-17,30
30,1,-15,28
31,1,-10,90
32,1,-10,90
33,1,-13,116
34,1,-10,94
35,1,9,102
36,1,8,38
37,1,-1,25
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,0,0
5,1,-1,17
6,1,-2,0
7,1,2,0
8,1,-1,-15
9,1,2,0
10,1,1,-17
11,1,2,0
12,1,1,-17
13,1,0,0
14,1,-5,-17
15,1,17,7
16,1,-1,-17
17,1,-1,17
18,1,-3,-17
19,1,-7,-15
20,1,-20,-62
21,1,-21,-11
22,1,-5,-17
23,1,-7,-13
24,1,-5,-15
25,1,-1,23
26,1,0,2
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,-1,17
4,-1,2,34
5,-1,5,49
6,-1,-2,2
7,-1,-3,51
8,-1,-5,17
9,-1,-2,34
10,-1,-1,17
11,-1,14,26
12,-1,11,9
13,-1,10,26
14,-1,8,-8
15,-1,7,9
16,-1,6,-8
17,-1,5,10
18,-1,4,-8
19,-1,3,11
20,-1,5,9
21,-1,5,9
22,-1,6,-10
23,-1,10,30
24,-1,13,9
0,-1,0,0
1,-1,-3,-17
2,-1,8,30
3,-1,9,47
4,-1,11,47
5,-1,10,64
6,-1,9,15
7,-1,6,-2
8,-1,11,-19
9,-1,12,-2
10,-1,12,-2
11,-1,24,24
12,-1,21,7
13,-1,20,24
14,-1,1,-17
15,-1,2,32
16,-1,0,-2
17,-1,-3,16
18,-1,-5,-20
19,-1,-3,14
20,-1,-8,-2
21,-1,-11,18
22,-1,-11,18
23,-1,-14,-2
24,-1,-11,16
25,-1,-8,36
26,-1,2,34
0,1,0,0
1,1,-3,-17
2,1,-4,-32
3,1,-3,-49
4,1,-8,-62
5,1,-10,-62
6,1,-15,-75
7,1,-16,-58
8,1,-17,-75
9,1,-15,-41
10,1,-15,-75
11,1,-12,-60
12,1,-11,-79
13,1,-9,-45
14,1,-12,-30
15,1,-14,8
0,1,0,0
1,1,3,17
2,1,0,0
3,1,-1,17
4,1,0,0
5,1,1,17
6,1,3,15
7,1,12,60
8,1,13,41
9,1,14,62
10,1,12,28
11,1,9,11
12,1,17,41
13,1,18,58
14,1,21,37
15,1,19,39
16,1,20,22
17,1,21,39
18,1,20,22
19,1,18,24
20,1,20,24
21,1,21,78
22,1,19,42
23,1,11,10
24,1,16,28
25,1,2,34
26,1,1,54
27,1,1,54
28,1,3,52
29,1,9,88
30,1,4,32
31,1,4,36
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,-1,17
4,1,-6,0
5,1,-1,17
6,1,2,30
7,1,1,47
8,1,18,56
9,1,16,58
10,1,15,41
11,1,13,43
12,1,12,-8
13,1,13,41
14,1,10,-8
15,1,11,44
16,1,5,8
17,1,6,62
18,1,0,28
19,1,-1,46
20,1,1,46
21,1,4,64
22,1,1,53
23,1,-16,48
24,1,-11,64
25,1,-15,70
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,9,47
4,-1,8,-2
5,-1,7,-17
6,-1,10,-36
7,-1,11,-21
8,-1,11,-25
9,-1,12,-8
0,-1,0,0
1,-1,3,17
2,-1,4,0
3,-1,3,17
4,-1,4,0
5,-1,5,17
6,-1,6,0
7,-1,12,32
8,-1,19,47
9,-1,22,62
10,-1,22,62
11,-1,21,47
12,-1,17,11
13,-1,18,-4
14,-1,23,-21
15,-1,24,-4
16,-1,26,-8
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-3,-17
4,1,0,-2
5,1,-3,-17
6,1,-1,-15
7,1,-2,4
8,1,-5,-45
9,1,-7,-43
0,-1,0,0
1,-1,-3,-15
2,-1,-2,-32
3,-1,-1,17
4,-1,-6,-32
5,-1,-1,-15
6,-1,2,-32
7,-1,3,17
8,-1,0,0
9,-1,-8,4
10,-1,-7,-13
11,-1,-8,4
12,-1,-10,-30
13,-1,-1,17
14,-1,-2,-32
15,-1,-4,-30
16,-1,-5,-47
17,-1,-12,-66
18,-1,-12,-68
19,-1,-9,-50
20,-1,-9,-86
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,0,0
5,1,-1,17
6,1,2,0
7,1,-5,-15
8,1,10,-4
9,1,-4,2
10,1,-3,-17
11,1,-5,-15
0,1,0,0
1,1,-1,17
2,1,4,32
3,1,3,49
4,1,2,0
5,1,7,13
6,1,-2,-34
7,1,-1,15
8,1,-1,-19
9,1,2,30
10,1,1,-19
11,1,6,-4
12,1,9,-23
13,1,-5,15
14,1,-6,-2
15,1,-1,15
16,1,-1,-21
17,1,2,30
18,1,1,11
19,1,-3,28
20,1,-1,43
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,-1,17
4,1,4,32
5,1,1,17
6,1,1,17
7,1,-4,2
8,1,-2,2
9,1,-5,21
