Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.20     26.59     0.06 24167828     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*> >, std::is_move_assignable<std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*> > >::value, void>::type std::swap<std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*> >(std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>&, std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>&)
  0.20     26.65     0.06 18343290     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned int const, std::bitset<7ul> > const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned int const, std::bitset<7ul> > const&>(std::pair<unsigned int const, std::bitset<7ul> > const&) const
  0.20     26.71     0.06 18343290     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, std::bitset<7ul> >, false> const*, unsigned long) const
  0.20     26.77     0.06 17643356     0.00     0.00  bool std::operator==<Move*>(std::move_iterator<Move*> const&, std::move_iterator<Move*> const&)
  0.20     26.83     0.06 70130177     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.20     26.89     0.06 12083914     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Deque_base(std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >&&)
  0.19     26.94     0.06 121914583     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, std::bitset<7ul> > >::_M_addr()
  0.19     27.00     0.06 51788406     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  0.19     27.05     0.06 24167828     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_deallocate_node(std::pair<int, int>*)
  0.17     27.10     0.05 72503484     0.00     0.00  std::remove_reference<std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>&>::type&& std::move<std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>&>(std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>&)
  0.17     27.15     0.05 48335656     0.00     0.00  std::allocator<std::pair<int, int>*>::~allocator()
  0.17     27.20     0.05 48335656     0.00     0.00  std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>::_S_buffer_size()
  0.17     27.25     0.05 36251742     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.17     27.30     0.05 25537804     0.00     0.00  Position::FillWinnerFlags(int, int)
  0.17     27.35     0.05 24167828     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_allocate_node()
  0.17     27.40     0.05 24167828     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Deque_base()
  0.17     27.45     0.05 24167828     0.00     0.00  std::allocator_traits<std::allocator<std::pair<int, int> > >::allocate(std::allocator<std::pair<int, int> >&, unsigned long)
